node_id,Betweenness_Centrality
57.0,0.7274305555555555
0.0,0.8415178571428571
70.0,0.8571428571428571
113.0,0.5540674603174602
138.0,0.7976190476190476
154.0,0.8184523809523809
166.0,0.9124503968253967
235.0,0.05282738095238095
242.0,0.7621527777777778
262.0,0.10342261904761904
275.0,0.8340773809523809
280.0,0.7346230158730158
309.0,0.7641369047619048
347.0,0.30084325396825395
378.0,0.8134920634920635
401.0,0.8881448412698412
413.0,0.8072916666666666
416.0,0.4556051587301587
451.0,0.7276785714285714
24.0,0.0
98.0,0.1884920634920635
358.0,0.3630952380952381
425.0,0.41021825396825395
428.0,0.455109126984127
25.0,0.3988095238095238
277.0,0.22445436507936506
339.0,0.18204365079365079
31.0,0.7261904761904762
73.0,0.4908234126984127
148.0,0.560515873015873
42.0,0.015128968253968252
384.0,0.1056547619047619
397.0,0.7242063492063492
431.0,0.7130456349206349
58.0,0.046875
61.0,0.1056547619047619
88.0,0.9027777777777777
92.0,0.8402777777777777
132.0,0.5577876984126984
141.0,0.6924603174603174
146.0,0.2710813492063492
183.0,0.415922619047619
203.0,0.1009424603174603
207.0,0.31101190476190477
212.0,0.023313492063492064
287.0,0.001488095238095238
299.0,0.16641865079365079
320.0,0.7879464285714285
334.0,0.7690972222222222
335.0,0.7353670634920635
343.0,0.4342757936507936
353.0,0.09895833333333333
371.0,0.8258928571428571
377.0,0.11383928571428571
380.0,0.03224206349206349
392.0,0.8249007936507936
400.0,0.4913194444444444
405.0,0.002232142857142857
410.0,0.6716269841269841
414.0,0.2259424603174603
429.0,0.5679563492063492
442.0,0.529265873015873
454.0,0.0
340.0,0.3159722222222222
446.0,0.026289682539682536
