node_id,Betweenness_Centrality,Pagerank_Values,Clustering_Coefficient,Degree_Centrality,Average_Neighbor_Degree,name,metro_pop,country
57.0,0.7274305555555555,0.0300341589120744,0.431436237819517,1.875,27.316666666666666,"Calgary, AB",1141000,Canada
0.0,0.8415178571428571,0.01321708979419093,0.8986928104575164,0.5625,41.111111111111114,"Abbotsford, BC",133497,Canada
70.0,0.8571428571428571,0.026959040471346833,0.7205438066465257,1.0,35.125,"Charlottetown, PE",58625,Canada
113.0,0.5540674603174602,0.03198391912317271,0.4369434070669348,1.859375,27.316666666666666,"Edmonton, AB",1032000,Canada
138.0,0.7976190476190476,0.015333153870675575,0.8150887573964497,0.828125,38.25925925925926,"Ft. McMurray, AB",47705,Canada
154.0,0.8184523809523809,0.014877184305519202,0.8109640831758034,0.734375,39.0,"Grande Prairie, AB",46850,Canada
166.0,0.9124503968253967,0.038249558575458004,0.5272123893805309,1.5,31.975,"Halifax, NS",297943,Canada
235.0,0.05282738095238095,0.008025155932327494,0.926605504587156,0.53125,44.23529411764706,"Lethbridge, AB",83517,Canada
242.0,0.7621527777777778,0.028875638139431076,0.6888888888888889,1.0625,38.285714285714285,"London, ON",366151,Canada
262.0,0.10342261904761904,0.008142914250660573,0.8794178794178794,0.5,43.125,"Medicine Hat, AB",62183,Canada
275.0,0.8340773809523809,0.02185777487112279,0.6814516129032258,1.0,35.0,"Moncton, NB",69074,Canada
280.0,0.7346230158730158,0.026386243457241953,0.4171561262122661,1.90625,26.483870967741936,"Montreal, QC",3764000,Canada
309.0,0.7641369047619048,0.03038894240473765,0.4265536723163842,1.875,27.15,"Ottawa, ON",1153000,Canada
347.0,0.30084325396825395,0.022826810245124427,0.6210359408033826,1.375,32.20454545454545,"Regina, SK",193100,Canada
378.0,0.8134920634920635,0.02256909281223269,0.6210359408033826,1.375,32.20454545454545,"Saskatoon, SK",222189,Canada
401.0,0.8881448412698412,0.02733417363910873,0.5751351351351351,1.359375,30.434782608695652,"St. Johns, NL",106172,Canada
413.0,0.8072916666666666,0.018464243135868665,0.8513674197384067,0.921875,37.86206896551724,"Thunder Bay, ON",108359,Canada
416.0,0.4556051587301587,0.02460642319954639,0.42966101694915254,1.875,27.25,"Toronto, ON",6324000,Canada
451.0,0.7276785714285714,0.03129009675037099,0.44213909994155465,1.84375,27.610169491525422,"Winnipeg, MB",672129,Canada
24.0,0.0,0.007487815501433165,0.9201388888888888,0.390625,46.15384615384615,"Bagotville, QC",1081,Canada
98.0,0.1884920634920635,0.011537884610054571,0.7892561983471075,0.703125,35.82608695652174,"Deer Lake, NL",3971,Canada
358.0,0.3630952380952381,0.011939276288652576,0.6213151927437641,0.671875,31.318181818181817,"Rouyn-Noranda, QC",42033,Canada
425.0,0.41021825396825395,0.01420818961341077,0.6213151927437641,0.671875,31.761904761904763,"Val D'Or, QC",31862,Canada
428.0,0.455109126984127,0.02865185641021319,0.4536266349583829,1.828125,27.847457627118644,"Vancouver, BC",2254000,Canada
25.0,0.3988095238095238,0.007489922001544908,0.8884297520661157,0.359375,44.416666666666664,"Baie Comeau, QC",22554,Canada
277.0,0.22445436507936506,0.007003224415851666,0.885,0.328125,45.72727272727273,"Mont Joli, QC",5984,Canada
339.0,0.18204365079365079,0.014237654864768107,0.6612903225806451,0.96875,33.903225806451616,"Quebec, QC",695803,Canada
31.0,0.7261904761904762,0.009991672413451306,0.845,0.328125,46.27272727272727,"Bathurst, NB",18154,Canada
73.0,0.4908234126984127,0.012449722433523314,0.8460207612456747,0.546875,39.833333333333336,"Chibougamau, QC",7611,Canada
148.0,0.560515873015873,0.011532909820362158,0.7524366471734892,0.515625,32.93333333333333,"Goose Bay, NL",7552,Canada
42.0,0.015128968253968252,0.00617525055395949,0.9444444444444444,0.28125,33.111111111111114,"Blanc Sablon, QC",1118,Canada
384.0,0.1056547619047619,0.009947746816644131,0.77734375,0.515625,37.76470588235294,"Sept-Iles, QC",22837,Canada
397.0,0.7242063492063492,0.005627867474569622,0.9453125,0.265625,36.333333333333336,"St. Anthony, NL",2442,Canada
431.0,0.7130456349206349,0.015204758606748931,0.7958477508650519,0.546875,37.833333333333336,"Wabush, NL",1861,Canada
58.0,0.046875,0.009988531317103064,0.8368,0.796875,36.5,"Campbell River, BC",32884,Canada
61.0,0.1056547619047619,0.013075337905549031,0.7366548042704626,0.84375,35.0,"Castlegar, BC",8354,Canada
88.0,0.9027777777777777,0.017859398943315462,0.7537634408602151,0.96875,35.67741935483871,"Comox, BC",13000,Canada
92.0,0.8402777777777777,0.013290092336310493,0.7571099154496541,0.8125,35.69230769230769,"Cranbrook, BC",18316,Canada
132.0,0.5577876984126984,0.014421006987552679,0.7806267806267806,0.84375,37.333333333333336,"Fredericton, NB",56245,Canada
141.0,0.6924603174603174,0.011428929947511712,0.9224376731301939,0.609375,39.9,"Ft. St John, BC",17692,Canada
146.0,0.2710813492063492,0.007463555634475978,0.9049586776859504,0.359375,44.666666666666664,"Gaspe, QC",3187,Canada
183.0,0.415922619047619,0.010761353720860772,0.8313609467455622,0.421875,40.57142857142857,"Iles de la Madeleine, QC",12291,Canada
203.0,0.1009424603174603,0.010555641656090013,0.7936651583710407,0.75,37.041666666666664,"Kamloops, BC",92882,Canada
207.0,0.31101190476190477,0.021480172768282846,0.6538461538461539,1.21875,33.53846153846154,"Kelowna, BC",117312,Canada
212.0,0.023313492063492064,0.01172496351310114,0.9739229024943311,0.671875,39.095238095238095,"Kingston, ON",123363,Canada
287.0,0.001488095238095238,0.008685884874291915,0.8229166666666666,0.765625,36.72,"Nanaimo, BC",83751,Canada
299.0,0.16641865079365079,0.011823658145585298,0.9565217391304348,0.75,39.208333333333336,"North Bay, ON",53100,Canada
320.0,0.7879464285714285,0.011592566477570076,0.8419421487603306,0.703125,37.91304347826087,"Penticton, BC",43313,Canada
334.0,0.7690972222222222,0.019239259286251368,0.8203017832647462,0.859375,38.285714285714285,"Prince George, BC",65082,Canada
335.0,0.7353670634920635,0.011732173544172976,0.9166666666666666,0.578125,42.8421052631579,"Prince Rupert, BC",12815,Canada
343.0,0.4342757936507936,0.006179699047934655,0.9180327868852459,0.1875,49.0,"Rankin Inlet, NU",2577,Canada
353.0,0.09895833333333333,0.013042892283314966,0.92,0.484375,42.5625,"Roberval, QC",10544,Canada
371.0,0.8258928571428571,0.012071570715503053,0.8961218836565097,0.609375,41.5,"Sandspit, BC",538,Canada
377.0,0.11383928571428571,0.012741421504084856,0.9545454545454546,0.71875,41.391304347826086,"Sarnia, ON",88793,Canada
380.0,0.03224206349206349,0.012206081336093792,0.9565217391304348,0.75,40.833333333333336,"Sault Ste Marie, ON",68084,Canada
392.0,0.8249007936507936,0.013705035993789777,0.927437641723356,0.671875,40.18181818181818,"Smithers, BC",5247,Canada
400.0,0.4913194444444444,0.015127161950071695,0.7579365079365079,0.875,36.57142857142857,"St. John, NB",70063,Canada
405.0,0.002232142857142857,0.011501169458895847,0.9533333333333334,0.78125,40.08,"Sudbury, ON",160274,Canada
410.0,0.6716269841269841,0.01136661171852674,0.927437641723356,0.671875,40.18181818181818,"Terrace, BC",18581,Canada
414.0,0.2259424603174603,0.013206029005378858,0.9533333333333334,0.78125,40.08,"Timmins, ON",42997,Canada
429.0,0.5679563492063492,0.023035443355165483,0.6101010101010101,1.40625,31.866666666666667,"Victoria, BC",80017,Canada
442.0,0.529265873015873,0.013409132817749012,0.7881081081081082,0.6875,37.26086956521739,"Whitehorse, YT",20461,Canada
454.0,0.0,0.004951967245043712,0.8472222222222222,0.203125,38.666666666666664,"Yellowknife, NT",17863,Canada
340.0,0.3159722222222222,0.01030351222652355,0.9422222222222222,0.484375,40.875,"Quesnel, BC",13788,Canada
446.0,0.026289682539682536,0.007122378568500407,0.9511111111111111,0.484375,40.6875,"Williams Lake, BC",18760,Canada
